USA,6783,2
Cyprus,92,5
Greece,970,3
Italy,1935,3
Spain,3373.7,3
Algeria,69,5
Egypt,3136,3
Morocco,1001,3
Tunisia,194,5
Israel,69,5
Lebanon,103,5
Syria,507,4
Turkey,1780,3
Others(Mediterranean Region),113.5,5
Portugal,237,4
Japan,53,5
Belize,230,4
Costa Rica,315,4
Cuba,94,5
Dominican Republic,140,5
Guatemala,155,5
Honduras,275,4
Jamaica,92,5
Mexico,4400,2
Ghana,625,4
Sudan,135,5
China,7600,2
India,5000,2
Indonesia,1600,3
Iran,2733,3
Pakistan,1400,3
Thailand,435,4
Viet Nam,675,4
Others(Northern Hemisphere),676,4
Bolivia,170,5
Brazil,16850,1
Colombia,265,4
Paraguay,235,4
Peru,450,4
Uruguay,151,5
Venezuela,410,4
Australia,350,4
South Africa,1715,3
Others(Southern Hemisphere),733,4
